epoch,pl_e,pl_n,pl_u,seconds from start,minutes from start
1203968280,30.55480147,32.63026957,43.18636962,0,0.00
1203968281,22.06987109,25.71585366,36.12424231,1,0.02
1203968282,18.68745412,22.55285524,32.16575058,2,0.03
1203968283,17.18444655,20.57376781,29.58044225,3,0.05
1203968284,15.66751906,19.04228518,27.6452079,4,0.07
1203968285,14.65096652,17.88214104,26.09320821,5,0.08
1203968286,14.06268813,17.07021758,24.9173666,6,0.10
1203968287,13.58426933,16.39780994,23.84123323,7,0.12
1203968288,13.15188975,15.677499,23.0267142,8,0.13
1203968289,12.84455267,15.15515712,22.31961087,9,0.15
1203968290,12.4990207,14.67526333,21.79200254,10,0.17
1203968291,12.24218111,14.33137491,21.22673804,11,0.18
1203968292,12.01107025,13.94343186,20.71484933,12,0.20
1203968293,11.80119439,13.59158143,20.24765247,13,0.22
1203968294,11.60857321,13.27010269,19.81771731,14,0.23
1203968295,11.43045765,12.97469997,19.41940733,15,0.25
1203968296,11.26474114,12.70191726,19.04824113,16,0.27
1203968297,11.16957218,12.4372541,18.65209752,17,0.28
1203968298,11.02246635,12.20225499,18.32764438,18,0.30
1203968299,10.84643479,11.97417305,17.98601051,19,0.32
1203968300,10.75061143,11.76192566,17.66988639,20,0.33
1203968301,10.66236181,11.56939047,17.37801118,21,0.35
1203968302,10.56705457,11.38292607,17.10410423,22,0.37
1203968303,10.47327577,11.2487342,16.93552398,23,0.38
1203968304,10.37421156,11.12089942,16.68422711,24,0.40
1203968305,10.28374803,11.01620578,16.46891742,25,0.42
1203968306,10.19599918,10.91289076,16.17963216,26,0.43
1203968307,10.11093042,10.81142333,16.07107213,27,0.45
1203968308,10.02839829,10.71193729,15.88528855,28,0.47
1203968309,9.945829175,10.59640828,15.7023618,29,0.48
1203968310,9.869295742,10.4643508,15.53098065,30,0.50
1203968311,9.794570788,10.33786716,15.36591984,31,0.52
1203968312,9.717928477,10.23569733,15.20423386,32,0.53
1203968313,9.646835984,10.11852202,15.05163251,33,0.55
1203968314,9.579450941,10.01920746,14.90803684,34,0.57
1203968315,9.513104623,9.922740848,14.7693003,35,0.58
1203968316,9.449085974,9.829969392,14.63738323,36,0.60
1203968317,9.38652974,9.739929822,14.51001728,37,0.62
1203968318,9.322369509,9.669411795,14.3844561,38,0.63
1203968319,9.262614801,9.584160373,14.26528355,39,0.65
1203968320,9.201436507,9.516791979,14.14777411,40,0.67
1203968321,9.146092377,9.435939338,14.04744341,41,0.68
1203968322,9.092981316,9.388783744,13.96121293,42,0.70
1203968323,9.039018444,9.347818797,13.88594909,43,0.72
1203968324,9.027934039,9.287840183,13.79041374,44,0.73
1203968325,8.977049085,9.230508557,13.70242918,45,0.75
1203968326,8.920119976,9.156696943,13.61070041,46,0.77
1203968327,8.871103885,9.099092648,13.52314402,47,0.78
1203968328,8.822779642,9.041127605,13.43735346,48,0.80
1203968329,8.775225579,8.983481007,13.3534507,49,0.82
1203968330,8.725819098,8.91118003,13.2675016,50,0.83
1203968331,8.682811944,8.856133815,13.1884956,51,0.85
1203968332,8.637652226,8.849560038,13.11086295,52,0.87
1203968333,8.593111452,8.792604588,13.03459443,53,0.88
1203968334,8.547037767,8.723191303,12.95659802,54,0.90
1203968335,8.501901031,8.654724753,12.88012465,55,0.92
1203968336,8.45957457,8.600099863,12.80810148,56,0.93
1203968337,8.421547453,8.555567948,12.74607696,57,0.95
1203968338,8.382127523,8.50212775,12.68509626,58,0.97
1203968339,8.342905808,8.449617053,12.62454395,59,0.98
1203968340,8.304601647,8.398245324,12.56555437,60,1.00
1203968341,8.266723582,8.347494974,12.50707052,61,1.02
1203968342,8.22667653,8.312177496,12.49130897,62,1.03
1203968343,8.189599085,8.26246345,12.43325882,63,1.05
1203968344,8.152863385,8.213401358,12.37548262,64,1.07
1203968345,8.116463566,8.164958167,12.31794599,65,1.08
1203968346,8.078142709,8.13035132,12.25899583,66,1.10
1203968347,8.042481867,8.082982972,12.20212247,67,1.12
1203968348,8.007169187,8.036248646,12.14557986,68,1.13
1203968349,7.972206635,7.990143032,12.08940203,69,1.15
1203968350,7.937594543,8.004985175,12.03362618,70,1.17
1203968351,7.90333647,7.911967523,11.97828481,71,1.18
1203968352,7.869434649,7.878899164,11.92341042,72,1.20
1203968353,7.835890507,7.84607461,11.86903291,73,1.22
1203968354,7.802705662,7.813492851,11.81517898,74,1.23
1203968355,7.769880861,7.781154565,11.76187194,75,1.25
1203968356,7.737415915,7.749061839,11.70913167,76,1.27
1203968357,7.705310573,7.717217918,11.65697469,77,1.28
1203968358,7.671599494,7.684564297,11.60327452,78,1.30
1203968359,7.638406161,7.652226388,11.55035612,79,1.32
1203968360,7.607417225,7.621189142,11.50004056,80,1.33
1203968361,7.574968067,7.589423807,11.44844764,81,1.35
1203968362,7.542722633,7.547664514,11.39789722,82,1.37
1203968363,7.512818895,7.517560403,11.3495094,83,1.38
1203968364,7.4814382,7.477284732,11.30031718,84,1.40
1203968365,7.450474367,7.446977159,11.25145726,85,1.42
1203968366,7.418250607,7.407318655,11.2020629,86,1.43
1203968367,7.388145026,7.377771273,11.15462889,87,1.45
1203968368,7.358412937,7.348526064,11.1077961,88,1.47
1203968369,7.329048484,7.321140012,11.06168862,89,1.48
1203968370,7.300119542,7.29458996,11.01665098,90,1.50
1203968371,7.271532699,7.268315984,10.97216647,91,1.52
1203968372,7.24729748,7.244053644,10.93453061,92,1.53
1203968373,7.221452164,7.210307098,10.89757386,93,1.55
1203968374,7.197674178,7.186403215,10.86235199,94,1.57
1203968375,7.173006411,7.162466649,10.82700215,95,1.58
1203968376,7.148660959,7.138740097,10.79215977,96,1.60
1203968377,7.12292788,7.106607362,10.75649636,97,1.62
1203968378,7.099041728,7.083339375,10.72218129,98,1.63
1203968379,7.073873488,7.052326359,10.68687212,99,1.65
1203968380,7.048990695,7.021966222,10.65177838,100,1.67
1203968381,7.025645634,6.992489026,10.61791756,101,1.68
1203968382,7.003831946,6.970312415,10.58563875,102,1.70
1203968383,6.979897175,6.941228015,10.55240818,103,1.72
1203968384,6.957499137,6.919119869,10.52043621,104,1.73
1203968385,6.935293574,6.897145033,10.48869281,105,1.75
1203968386,6.913265402,6.87529435,10.45709923,106,1.77
1203968387,6.891402604,6.853560047,10.42560907,107,1.78
1203968388,6.869709365,6.826070408,10.39402264,108,1.80
1203968389,6.847220951,6.798751797,10.36270955,109,1.82
1203968390,6.826091301,6.777564527,10.33255033,110,1.83
1203968391,6.80408922,6.750870558,10.30184067,111,1.85
1203968392,6.784331848,6.730313596,10.27239926,112,1.87
1203968393,6.762745789,6.704260355,10.24230683,113,1.88
1203968394,6.741412665,6.67871391,10.21251872,114,1.90
1203968395,6.719691033,6.657865839,10.18269577,115,1.92
1203968396,6.698175363,6.637159913,10.15298025,116,1.93
1203968397,6.675917698,6.611775821,10.12270144,117,1.95
1203968398,6.653883275,6.586895742,10.09244311,118,1.97
1203968399,6.632036723,6.562394358,10.0621973,119,1.98
1203968400,6.610366049,6.538241605,10.03193347,120,2.00
1203968401,6.588862471,6.514416756,10.00162445,121,2.02
1203968402,6.569231512,6.491971913,9.969636142,122,2.03
1203968403,6.548471674,6.4670434,9.937609887,123,2.05
1203968404,6.528085262,6.44305485,9.906469345,124,2.07
1203968405,6.510238328,6.42084082,9.878521754,125,2.08
1203968406,6.491297453,6.398630036,9.85004279,126,2.10
1203968407,6.471337559,6.375762674,9.819451766,127,2.12
1203968408,6.451712879,6.353209643,9.789233756,128,2.13
1203968409,6.434538197,6.332084102,9.761911641,129,2.15
1203968410,6.415077924,6.309849486,9.731753363,130,2.17
1203968411,6.395928245,6.213203916,9.701856972,131,2.18
1203968412,6.376946748,6.191561485,9.672078365,132,2.20
1203968413,6.358227136,6.172580605,9.692763364,133,2.22
1203968414,6.339662746,6.153211073,9.663485054,134,2.23
1203968415,6.321080588,6.133063498,9.633947826,135,2.25
1203968416,6.302807122,6.114127799,9.604856362,136,2.27
1203968417,6.284039303,6.094904074,9.578047663,137,2.28
1203968418,6.264708856,6.075968148,9.548513901,138,2.30
1203968419,6.249756389,6.058600602,9.525180209,139,2.32
1203968420,6.232630812,6.040235485,9.499086744,140,2.33
1203968421,6.21577077,6.022104042,9.473230187,141,2.35
1203968422,6.199675722,6.004636691,9.449918768,142,2.37
1203968423,6.182944325,5.988024026,9.42429836,143,2.38
1203968424,6.16518764,5.971436546,9.398593354,144,2.40
1203968425,6.148927766,5.955274429,9.373685684,145,2.42
1203968426,6.132779208,5.939283031,9.348852742,146,2.43
1203968427,6.117132317,5.925078912,9.325296009,147,2.45
1203968428,6.101611502,5.910946514,9.301670085,148,2.47
1203968429,6.084551629,5.894762549,9.277638695,149,2.48
1203968430,6.067864135,5.877803047,9.250675694,150,2.50
1203968431,6.050201982,5.861056361,9.223885507,151,2.52
1203968432,6.03291374,5.84563635,9.19789738,152,2.53
1203968433,6.017606609,5.830116345,9.174217295,153,2.55
1203968434,6.002397573,5.814847107,9.150506966,154,2.57
1203968435,5.985396401,5.798696363,9.12467816,155,2.58
1203968436,5.968677487,5.782675277,9.099150953,156,2.60
1203968437,5.952133232,5.766705583,9.073823165,157,2.62
1203968438,5.935746248,5.750766528,9.048640463,158,2.63
1203968439,5.920646745,5.736500214,9.024391335,159,2.65
1203968440,5.905533084,5.721179446,9.000199338,160,2.67
1203968441,5.890582338,5.70606693,8.976215197,161,2.68
1203968442,5.875763009,5.691045936,8.952408212,162,2.70
1203968443,5.860101054,5.675887043,8.928540396,163,2.72
1203968444,5.845538081,5.660937447,8.905075059,164,2.73
1203968445,5.831095811,5.645999395,8.881768974,165,2.75
1203968446,5.816831523,5.632304978,8.858889075,166,2.77
1203968447,5.802680771,5.618294678,8.836165471,167,2.78
1203968448,5.788642575,5.604377016,8.813607879,168,2.80
1203968449,5.774677246,5.590547684,8.791215606,169,2.82
1203968450,5.760860626,5.576816714,8.768995198,170,2.83
1203968451,5.747500721,5.563261431,8.747448594,171,2.85
1203968452,5.7341985,5.549677183,8.726340402,172,2.87
1203968453,5.720940325,5.536165629,8.70545849,173,2.88
1203968454,5.707631472,5.521953772,8.684378504,174,2.90
1203968455,5.694661003,5.507946073,8.663551323,175,2.92
1203968456,5.681658731,5.494064949,8.642952874,176,2.93
1203968457,5.668793197,5.480957811,8.622842524,177,2.95
1203968458,5.656036984,5.467962098,8.602884272,178,2.97
1203968459,5.644637549,5.455666689,8.584592596,179,2.98
1203968460,5.632655875,5.443180048,8.567128317,180,3.00
1203968461,5.620728906,5.430752247,8.549821334,181,3.02
